geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	441	37	11.2992537313433	3.27455253946239	1.02264863244272e-11	5.36992796895674e-08	356;684;917;2302;2537;2999;3001;3002;3112;3127;3458;3620;3627;3902;4283;4602;5284;6352;6355;6373;6375;8631;8638;9447;10164;10537;27299;29851;50487;50852;53347;56253;81030;84174;115362;257101;353219	CHST4;UBD;GBP5;FOXJ1;IFI6;ZNF683;ADAMDEC1;ICOS;GZMH;GZMA;GZMB;HLA-DOB;HLA-DRB5;IFNG;KAAG1;FASLG;IDO1;CXCL10;LAG3;CXCL9;MYB;PLA2G3;TRAT1;PIGR;UBASH3A;CRTAM;CCL5;CCL8;CXCL11;XCL1;BST2;ZBP1;SLA2;SKAP1;OASL;CD3G;AIM2
GO:0002376	immune system process	http://amigo.geneontology.org/amigo/term/GO:0002376	684	44	17.5253731343284	2.51064554590359	4.65203653376989e-10	1.22139219194128e-06	356;684;914;917;2302;2537;2999;3001;3002;3112;3127;3458;3620;3627;3902;4283;4602;5284;6352;6355;6373;6375;8631;8638;9447;10164;10537;10964;26279;27299;29851;50487;50852;53347;55423;56253;81030;84174;84941;115362;201633;257101;284340;353219	CHST4;UBD;IFI44L;GBP5;TIGIT;FOXJ1;IFI6;ZNF683;PLA2G2D;ADAMDEC1;CXCL17;ICOS;GZMH;GZMA;GZMB;HLA-DOB;HLA-DRB5;IFNG;KAAG1;FASLG;IDO1;CXCL10;LAG3;CXCL9;MYB;PLA2G3;TRAT1;PIGR;UBASH3A;SIRPG;CRTAM;CCL5;CCL8;CXCL11;XCL1;BST2;ZBP1;SLA2;HSH2D;SKAP1;OASL;CD2;CD3G;AIM2
GO:0042110	T cell activation	http://amigo.geneontology.org/amigo/term/GO:0042110	137	18	3.51019900497512	5.12791439302672	5.92120186215794e-09	6.21844619563827e-06	914;917;2302;3127;3458;3620;3902;4602;6352;6375;26279;29851;55423;56253;84174;84941;201633;257101	TIGIT;FOXJ1;ZNF683;PLA2G2D;ICOS;HLA-DRB5;IFNG;IDO1;LAG3;MYB;SIRPG;CRTAM;CCL5;XCL1;SLA2;HSH2D;CD2;CD3G
GO:0070489	T cell aggregation	http://amigo.geneontology.org/amigo/term/GO:0070489	137	18	3.51019900497512	5.12791439302672	5.92120186215794e-09	6.21844619563827e-06	914;917;2302;3127;3458;3620;3902;4602;6352;6375;26279;29851;55423;56253;84174;84941;201633;257101	TIGIT;FOXJ1;ZNF683;PLA2G2D;ICOS;HLA-DRB5;IFNG;IDO1;LAG3;MYB;SIRPG;CRTAM;CCL5;XCL1;SLA2;HSH2D;CD2;CD3G
GO:0071593	lymphocyte aggregation	http://amigo.geneontology.org/amigo/term/GO:0071593	137	18	3.51019900497512	5.12791439302672	5.92120186215794e-09	6.21844619563827e-06	914;917;2302;3127;3458;3620;3902;4602;6352;6375;26279;29851;55423;56253;84174;84941;201633;257101	TIGIT;FOXJ1;ZNF683;PLA2G2D;ICOS;HLA-DRB5;IFNG;IDO1;LAG3;MYB;SIRPG;CRTAM;CCL5;XCL1;SLA2;HSH2D;CD2;CD3G
GO:0070486	leukocyte aggregation	http://amigo.geneontology.org/amigo/term/GO:0070486	142	18	3.63830845771144	4.94735402707507	1.06219999462809e-08	9.29602028632015e-06	914;917;2302;3127;3458;3620;3902;4602;6352;6375;26279;29851;55423;56253;84174;84941;201633;257101	TIGIT;FOXJ1;ZNF683;PLA2G2D;ICOS;HLA-DRB5;IFNG;IDO1;LAG3;MYB;SIRPG;CRTAM;CCL5;XCL1;SLA2;HSH2D;CD2;CD3G
GO:0002682	regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002682	373	29	9.55696517412935	3.03443608631146	2.16921649531798e-08	1.62722225955925e-05	684;914;917;2302;3112;3127;3458;3620;3627;3902;4283;4602;5284;6352;6373;6375;8631;9447;26279;29851;50852;53347;55423;56253;84174;115362;201633;257101;284340	GBP5;TIGIT;FOXJ1;ZNF683;PLA2G2D;CXCL17;ICOS;HLA-DOB;HLA-DRB5;IFNG;IDO1;CXCL10;LAG3;CXCL9;MYB;TRAT1;PIGR;UBASH3A;SIRPG;CRTAM;CCL5;CXCL11;XCL1;BST2;SLA2;SKAP1;CD2;CD3G;AIM2
GO:0050863	regulation of T cell activation	http://amigo.geneontology.org/amigo/term/GO:0050863	104	15	2.66467661691542	5.62920089619119	3.50165070273079e-08	2.05459067369586e-05	914;917;2302;3127;3458;3620;3902;4602;6352;6375;26279;29851;55423;201633;257101	TIGIT;FOXJ1;ZNF683;PLA2G2D;ICOS;HLA-DRB5;IFNG;IDO1;LAG3;MYB;SIRPG;CCL5;XCL1;CD2;CD3G
GO:0007159	leukocyte cell-cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0007159	153	18	3.92014925373134	4.59166190748144	3.52148468163449e-08	2.05459067369586e-05	914;917;2302;3127;3458;3620;3902;4602;6352;6375;26279;29851;55423;56253;84174;84941;201633;257101	TIGIT;FOXJ1;ZNF683;PLA2G2D;ICOS;HLA-DRB5;IFNG;IDO1;LAG3;MYB;SIRPG;CRTAM;CCL5;XCL1;SLA2;HSH2D;CD2;CD3G
GO:0051249	regulation of lymphocyte activation	http://amigo.geneontology.org/amigo/term/GO:0051249	124	16	3.1771144278607	5.0360162856248	5.95759386268213e-08	3.12833253729439e-05	914;917;2302;3127;3458;3620;3902;4602;6352;6375;26279;29851;55423;84174;201633;257101	TIGIT;FOXJ1;ZNF683;PLA2G2D;ICOS;HLA-DRB5;IFNG;IDO1;LAG3;MYB;SIRPG;CCL5;XCL1;SLA2;CD2;CD3G
