userid	genesymbol	genename	entrezgene
CHST4	CHST4	carbohydrate sulfotransferase 4	10164
CSAG2	CSAG2	CSAG family member 2	102723547
CCNO	CCNO	cyclin O	10309
CLGN	CLGN	calmegin	1047
UBD	UBD	ubiquitin D	10537
GNLY	GNLY	granulysin	10578
SCGB1D2	SCGB1D2	secretoglobin family 1D member 2	10647
CXCR6	CXCR6	C-X-C motif chemokine receptor 6	10663
PRSS21	PRSS21	protease, serine 21	10942
IFI44L	IFI44L	interferon induced protein 44 like	10964
KLHDC7B	KLHDC7B	kelch domain containing 7B	113730
ZNF257	ZNF257	zinc finger protein 257	113835
GBP5	GBP5	guanylate binding protein 5	115362
C12orf56	C12orf56	chromosome 12 open reading frame 56	115749
GTSF1	GTSF1	gametocyte specific factor 1	121355
PCP2	PCP2	Purkinje cell protein 2	126006
C1orf194	C1orf194	chromosome 1 open reading frame 194	127003
MDH1B	MDH1B	malate dehydrogenase 1B	130752
CP	CP	ceruloplasmin	1356
RNF183	RNF183	ring finger protein 183	138065
TCAM1P	TCAM1P	testicular cell adhesion molecule 1, pseudogene	146771
SLFN13	SLFN13	schlafen family member 13	146857
ZNF560	ZNF560	zinc finger protein 560	147741
C1orf210	C1orf210	chromosome 1 open reading frame 210	149466
PYHIN1	PYHIN1	pyrin and HIN domain family member 1	149628
WDR49	WDR49	WD repeat domain 49	151790
NUDT16P1	NUDT16P1	nudix hydrolase 16 pseudogene 1	152195
FAM81B	FAM81B	family with sequence similarity 81 member B	153643
CYP4B1	CYP4B1	cytochrome P450 family 4 subfamily B member 1	1580
FAAH2	FAAH2	fatty acid amide hydrolase 2	158584
TDRD5	TDRD5	tudor domain containing 5	163589
KBTBD12	KBTBD12	kelch repeat and BTB domain containing 12	166348
CYP4Z1	CYP4Z1	cytochrome P450 family 4 subfamily Z member 1	199974
VWA3B	VWA3B	von Willebrand factor A domain containing 3B	200403
RDM1	RDM1	RAD52 motif containing 1	201299
TIGIT	TIGIT	T-cell immunoreceptor with Ig and ITIM domains	201633
ARMC3	ARMC3	armadillo repeat containing 3	219681
KLRK1	KLRK1	killer cell lectin like receptor K1	22914
FOXJ1	FOXJ1	forkhead box J1	2302
CES3	CES3	carboxylesterase 3	23491
LPAR3	LPAR3	lysophosphatidic acid receptor 3	23566
ALOX12P2	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	245
IFI6	IFI6	interferon alpha inducible protein 6	2537
MCOLN2	MCOLN2	mucolipin 2	255231
GABRP	GABRP	gamma-aminobutyric acid type A receptor pi subunit	2568
ZNF683	ZNF683	zinc finger protein 683	257101
RIBC2	RIBC2	RIB43A domain with coiled-coils 2	26150
PLA2G2D	PLA2G2D	phospholipase A2 group IID	26279
SMC1B	SMC1B	structural maintenance of chromosomes 1B	27127
TEKT2	TEKT2	tektin 2	27285
ADAMDEC1	ADAMDEC1	ADAM like decysin 1	27299
AMY1A	AMY1A	amylase, alpha 1A (salivary)	276
GPR19	GPR19	G protein-coupled receptor 19	2842
CXCL17	CXCL17	C-X-C motif chemokine ligand 17	284340
RUFY4	RUFY4	RUN and FYVE domain containing 4	285180
LOC285629	LOC285629	long intergenic non-protein coding RNA 2159	285629
ICOS	ICOS	inducible T-cell costimulator	29851
GZMH	GZMH	granzyme H	2999
GZMA	GZMA	granzyme A	3001
GZMB	GZMB	granzyme B	3002
HLA-DOB	HLA-DOB	major histocompatibility complex, class II, DO beta	3112
HLA-DRB5	HLA-DRB5	major histocompatibility complex, class II, DR beta 5	3127
HLA-DRB6	HLA-DRB6	major histocompatibility complex, class II, DR beta 6 (pseudogene)	3128
HTR3A	HTR3A	5-hydroxytryptamine receptor 3A	3359
IFNG	IFNG	interferon gamma	3458
CCDC160	CCDC160	coiled-coil domain containing 160	347475
KAAG1	KAAG1	kidney associated antigen 1	353219
FASLG	FASLG	Fas ligand	356
CXCR2P1	CXCR2P1	C-X-C motif chemokine receptor 2 pseudogene 1	3580
IDO1	IDO1	indoleamine 2,3-dioxygenase 1	3620
CXCL10	CXCL10	C-X-C motif chemokine ligand 10	3627
DNAJB13	DNAJB13	DnaJ heat shock protein family (Hsp40) member B13	374407
ENHO	ENHO	energy homeostasis associated	375704
CD164L2	CD164L2	CD164 molecule like 2	388611
LDLRAD1	LDLRAD1	low density lipoprotein receptor class A domain containing 1	388633
CSAG3	CSAG3	CSAG family member 3	389903
LAG3	LAG3	lymphocyte activating 3	3902
GLOD5	GLOD5	glyoxalase domain containing 5	392465
LDHC	LDHC	lactate dehydrogenase C	3948
CRIP3	CRIP3	cysteine rich protein 3	401262
RAB19	RAB19	RAB19, member RAS oncogene family	401409
ACBD7	ACBD7	acyl-CoA binding domain containing 7	414149
MAT1A	MAT1A	methionine adenosyltransferase 1A	4143
SCGB2A1	SCGB2A1	secretoglobin family 2A member 1	4246
