Id,Company,Primary Industry,Country,Url,Current Rank,Prior Rank,Executive1,Executive2,Earnings Per Share Growth,Cost Of Goods Sold,Current Liabilities,Total Assets,Long Term Debt,Return On Equity,Revenue,Total Company Assets,Revenue Growth,Net Income,Earnings Per Share,Total Equity,Profit Margin,Debt To Equity Ratio,Inventory Turnover
1,China Petroleum & Chemical Corp. Inc.,Petroleum & Coal Products,China,www.sinopec.com,1,1,"Mr. Chengyu Fu, Chairman","Mr. Tianpu Wang, Ph.D., Vice-Chairman;President",-32.50%,NA,"$71,235 ","$51,182 ",21517.5,5.46977,"$310,858 ","$222,206 ",-28.56%,"$4,994 ",($32.50),"$103,784 ",1.61%,0.21%,22403.1
2,Exxon Mobil Corp.,Petroleum & Coal Products,United States,www.exxonmobil.com,3,3,"Mr. Rex W. Tillerson, Chairman","Mr. Darren W. Woods, President",-49.34%,,"$53,976 ","$42,623 ",19925,9.26037,"$268,882 ","$336,758 ",-34.73%,"$16,150 ",($49.34),"$170,811 ",6.01%,0.12%,16245
3,Royal Dutch Shell PLC,Petroleum & Coal Products,Netherlands,www.shell.com,2,2,"Ben Van Beurden, Chief Executive Officer","Simon Henry, Chief Financial Officer",-87.29%,,"$70,948 ","$93,358 ",52849,1.12755,"$272,156 ","$340,157 ",-36.91%,"$1,939 ",($87.29),"$162,876 ",0.71%,0.32%,15822
4,Oil & Natural Gas Corp. Ltd.,Petroleum & Coal Products,India,www.ongcindia.com,5,6,"Shri R. S. Sharma, Chairman;Managing Director","Shri A. K. Hazarika, Director",-22.96%,NA,NA,NA,6996.46,0.78268,"$252,288 ","$53,860 ",NA,"$2,135 ",($22.96),"$27,287 ",0.85%,0.26%,1525.6
5,Toyota Motor Corp.,Motor Vehicles,Japan,www.toyota.co.jp,6,8,"Mr. Takeshi Uchiyamada, Chairman","Mr. Akio Toyoda, President",6.94%,,"$133,947 ","$151,268 ",81177.1,13.7758,"$235,946 ","$393,984 ",4.29%,"$19,211 ",$6.94 ,"$143,103 ",8.14%,0.57%,17125.1
6,Apple Inc.,Computers & Other Electronic Products,United States,www.apple.com,7,13,"Dr. Arthur D. Levinson, Ph.D., Chairman","Mr. Timothy D. Cook, Chief Executive Officer",42.95%,,"$80,610 ","$89,378 ",53463,47.8668,"$233,715 ","$290,479 ",27.86%,"$53,394 ",$42.95 ,"$119,355 ",22.85%,0.45%,2349
7,BP PLC,Petroleum & Coal Products,United Kingdom,www.bp.com,9,5,"Mr. Robert W. Dudley, Chief Executive Officer","Dr. Brian Gilvary, Chief Financial Officer",-273.31%,,"$54,724 ","$70,602 ",46224,-5.81653,"$225,316 ","$261,832 ",-37.02%,"($6,482)",($273.31),"$97,216 ",-2.88%,0.48%,14142
8,Samsung Electronics Co. Ltd.,Computers & Other Electronic Products,Korea,www.samsung.com,10,12,"Kun-Hee Lee, Chairman;Chief Executive Officer","Yoon-Woo Lee, Vice-Chairman;Chief Executive Officer",-17.50%,,"$42,924 ","$106,086 ",1272.36,11.527,"$170,544 ","$205,839 ",-2.69%,"$15,889 ",($17.50),"$146,936 ",9.32%,0.01%,15989
9,PetroChina Co. Ltd.,Petroleum & Coal Products,China,www.petrochina.com.cn,4,4,"Jiping Zhou, Vice-Chairman;President","Yongyuan Liao, Vice President",-67.80%,NA,"$72,585 ","$53,790 ",66898.5,3.02043,"$265,673 ","$368,593 ",-24.42%,"$5,468 ",($67.80),"$181,647 ",2.06%,0.37%,19535.9
10,Glencore PLC,Primary Metals,Switzerland,www.glencore.com,11,9,"Ivan Glasenberg, Chief Executive Officer","Steven Kalmin, Chief Financial Officer",-305.56%,,"$40,872 ","$42,198 ",32932,-10.2262,"$170,497 ","$128,485 ",-22.88%,"($4,964)",($305.56),"$41,254 ",-2.91%,0.80%,18303
11,Daimler AG,Motor Vehicles,Germany,www.daimler.com,12,15,"Dr. Dieter Zetsche, Chairman","Dr. Wolfgang Bernhardt, Management Board Member",20.89%,,"$83,957 ","$100,041 ",65168.6,19.2923,"$162,801 ","$236,540 ",15.09%,"$9,175 ",$20.89 ,"$58,339 ",5.64%,1.12%,25879.7
12,Ford Motor Co.,Motor Vehicles,United States,www.corporate.ford.com,14,21,"Mr. William Clay Ford, Jr., Executive Chairman","Mr. Mark Fields, President;Chief Executive Officer",130%,,"$78,336 ","$43,495 ",89856,29.7238,"$149,558 ","$224,925 ",3.80%,"$7,373 ",$130.00 ,"$28,642 ",4.93%,3.14%,8319
13,TOTAL SA,Petroleum & Coal Products,France,www.total.com,15,10,"Patrick Pouyanne, Chief Executive Officer;President","Philippe Boisseau, President",16.13%,,"$50,975 ","$70,236 ",44464,5.63157,"$143,421 ","$224,484 ",-32.35%,"$5,087 ",$16.13 ,"$92,494 ",3.55%,0.48%,13116
