geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0051028	mRNA transport	http://amigo.geneontology.org/amigo/term/GO:0051028	7	2	0.0504975124378109	39.6059113300493	0.00103202193952201	1	10642;29118	IGF2BP1;DDX25
GO:0006417	regulation of translation	http://amigo.geneontology.org/amigo/term/GO:0006417	31	3	0.22363184079602	13.4149054505006	0.00132503318573396	1	10642;29118;389421	IGF2BP1;DDX25;LIN28B
GO:0006403	RNA localization	http://amigo.geneontology.org/amigo/term/GO:0006403	9	2	0.0649253731343283	30.8045977011494	0.00175339751665615	1	10642;29118	IGF2BP1;DDX25
GO:0050657	nucleic acid transport	http://amigo.geneontology.org/amigo/term/GO:0050657	9	2	0.0649253731343283	30.8045977011494	0.00175339751665615	1	10642;29118	IGF2BP1;DDX25
GO:0050658	RNA transport	http://amigo.geneontology.org/amigo/term/GO:0050658	9	2	0.0649253731343283	30.8045977011494	0.00175339751665615	1	10642;29118	IGF2BP1;DDX25
GO:0051236	establishment of RNA localization	http://amigo.geneontology.org/amigo/term/GO:0051236	9	2	0.0649253731343283	30.8045977011494	0.00175339751665615	1	10642;29118	IGF2BP1;DDX25
GO:0034248	regulation of cellular amide metabolic process	http://amigo.geneontology.org/amigo/term/GO:0034248	37	3	0.266915422885572	11.2395153774464	0.00222479679578047	1	10642;29118;389421	IGF2BP1;DDX25;LIN28B
GO:0010608	posttranscriptional regulation of gene expression	http://amigo.geneontology.org/amigo/term/GO:0010608	38	3	0.274129353233831	10.9437386569873	0.0024038222958136	1	10642;29118;389421	IGF2BP1;DDX25;LIN28B
GO:0017148	negative regulation of translation	http://amigo.geneontology.org/amigo/term/GO:0017148	15	2	0.108208955223881	18.4827586206897	0.0049786306218067	1	10642;389421	IGF2BP1;LIN28B
GO:0015931	nucleobase-containing compound transport	http://amigo.geneontology.org/amigo/term/GO:0015931	17	2	0.122636815920398	16.3083164300203	0.00639116151803454	1	10642;29118	IGF2BP1;DDX25
