geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	441	9	1.97462686567164	4.5578231292517	4.16804145598748e-05	0.0646120981134577	356;2302;3458;3620;3627;3902;6373;10537;257101	UBD;FOXJ1;ZNF683;IFNG;FASLG;IDO1;CXCL10;LAG3;CXCL11
GO:0050863	regulation of T cell activation	http://amigo.geneontology.org/amigo/term/GO:0050863	104	5	0.465671641791045	10.7371794871795	6.8974154633028e-05	0.0646120981134577	2302;3458;3620;3902;257101	FOXJ1;ZNF683;IFNG;IDO1;LAG3
GO:0002684	positive regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002684	261	7	1.16865671641791	5.98978288633461	7.68324150849375e-05	0.0646120981134577	2302;3458;3620;3627;3902;6373;284340	FOXJ1;CXCL17;IFNG;IDO1;CXCL10;LAG3;CXCL11
GO:0032496	response to lipopolysaccharide	http://amigo.geneontology.org/amigo/term/GO:0032496	109	5	0.488059701492537	10.2446483180428	8.64324612920297e-05	0.0646120981134577	356;3458;3620;3627;6373	IFNG;FASLG;IDO1;CXCL10;CXCL11
GO:0001775	cell activation	http://amigo.geneontology.org/amigo/term/GO:0001775	270	7	1.2089552238806	5.79012345679012	9.54882896718745e-05	0.0646120981134577	2302;3458;3620;3627;3902;10537;257101	UBD;FOXJ1;ZNF683;IFNG;IDO1;CXCL10;LAG3
GO:0002682	regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002682	373	8	1.67014925373134	4.78999106344951	9.69366452495679e-05	0.0646120981134577	2302;3458;3620;3627;3902;6373;257101;284340	FOXJ1;ZNF683;CXCL17;IFNG;IDO1;CXCL10;LAG3;CXCL11
GO:0002237	response to molecule of bacterial origin	http://amigo.geneontology.org/amigo/term/GO:0002237	112	5	0.501492537313433	9.97023809523809	9.84377804051917e-05	0.0646120981134577	356;3458;3620;3627;6373	IFNG;FASLG;IDO1;CXCL10;CXCL11
GO:1903037	regulation of leukocyte cell-cell adhesion	http://amigo.geneontology.org/amigo/term/GO:1903037	112	5	0.501492537313433	9.97023809523809	9.84377804051917e-05	0.0646120981134577	2302;3458;3620;3902;257101	FOXJ1;ZNF683;IFNG;IDO1;LAG3
GO:0001818	negative regulation of cytokine production	http://amigo.geneontology.org/amigo/term/GO:0001818	64	4	0.286567164179104	13.9583333333333	0.000151267105791941	0.0745307485814124	2302;3458;3620;3902	FOXJ1;IFNG;IDO1;LAG3
GO:0051249	regulation of lymphocyte activation	http://amigo.geneontology.org/amigo/term/GO:0051249	124	5	0.555223880597015	9.00537634408602	0.000159859324651013	0.0745307485814124	2302;3458;3620;3902;257101	FOXJ1;ZNF683;IFNG;IDO1;LAG3
