geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0030198	extracellular matrix organization	http://amigo.geneontology.org/amigo/term/GO:0030198	179	21	5.07611940298507	4.13701852396354	1.52775700978935e-08	4.01112602920195e-05	1289;1290;1295;1300;1301;1311;1462;2191;2200;4148;4239;4322;4325;6423;7092;8076;9509;10631;22801;23768;26585	POSTN;COL5A1;COL5A2;COL8A1;COL10A1;COL11A1;COMP;VCAN;FAP;FBN1;ITGA11;FLRT2;GREM1;MATN3;MFAP4;MMP13;MMP16;SFRP2;TLL1;MFAP5;ADAMTS2
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	179	21	5.07611940298507	4.13701852396354	1.52775700978935e-08	4.01112602920195e-05	1289;1290;1295;1300;1301;1311;1462;2191;2200;4148;4239;4322;4325;6423;7092;8076;9509;10631;22801;23768;26585	POSTN;COL5A1;COL5A2;COL8A1;COL10A1;COL11A1;COMP;VCAN;FAP;FBN1;ITGA11;FLRT2;GREM1;MATN3;MFAP4;MMP13;MMP16;SFRP2;TLL1;MFAP5;ADAMTS2
GO:0007275	multicellular organism development	http://amigo.geneontology.org/amigo/term/GO:0007275	1630	75	46.2238805970149	1.62253793994188	3.04133556117137e-08	5.32335101057028e-05	165;579;775;1009;1272;1289;1290;1295;1300;1301;1311;1462;1833;1943;2070;2191;2200;3589;3624;3736;4045;4148;4322;4325;4330;4958;4969;5592;5789;5798;6327;6423;6424;6444;6664;6695;7058;7092;7291;7472;8076;8128;9096;9241;9353;9509;10082;10085;10631;22801;23768;25925;26585;50863;50944;54587;54829;55083;57167;57689;64388;80114;81792;84620;91584;117581;120114;145581;147906;152330;170690;203447;284297;387914;392255	GPC6;EDIL3;CDH11;POSTN;TWIST2;FAT3;CNTN1;COL5A1;COL5A2;COL8A1;COL10A1;COL11A1;COMP;LRFN5;VCAN;DACT3;CNTN4;AEBP1;ADAMTS16;EPYC;EFNA2;NRK;EYA4;FAP;FBN1;ITGA11;FLRT2;ZNF521;GREM1;SSC5D;IL11;INHBA;KCNA1;SHISA2;GDF6;LSAMP;MATN3;MMP13;MMP16;MN1;OMD;OGN;NTM;SHANK1;MXRA8;ASPN;KIF26B;PRKG1;SALL4;LRRC4C;PTPRD;NKX3-2;PTPRN;SCN2B;SFRP2;SFRP4;GREM2;SGCD;SOX11;SPOCK1;THBS2;TLL1;TWIST1;WNT2;CACNA1C;BICC1;MFAP5;ST8SIA2;ADAMTS12;ST6GAL2;TBX18;PLXNA4;NOG;SLIT2;ADAMTS2
GO:0001501	skeletal system development	http://amigo.geneontology.org/amigo/term/GO:0001501	217	22	6.15373134328358	3.57506669900558	9.88204688079364e-08	0.000129726570427618	165;579;1009;1290;1300;1301;1311;1462;2200;4148;4322;4325;6423;6424;6664;7092;7291;9241;10631;26585;81792;392255	CDH11;POSTN;COL5A2;COL10A1;COL11A1;COMP;VCAN;AEBP1;FBN1;GREM1;GDF6;MATN3;MMP13;MMP16;NKX3-2;SFRP2;SFRP4;SOX11;TLL1;TWIST1;ADAMTS12;NOG
GO:0048856	anatomical structure development	http://amigo.geneontology.org/amigo/term/GO:0048856	1750	77	49.6268656716418	1.55157894736842	1.35837258774529e-07	0.000142656289165011	165;579;775;1009;1272;1289;1290;1295;1300;1301;1311;1462;1833;1943;2070;2191;2200;2318;3589;3624;3736;4045;4148;4322;4325;4330;4958;4969;5592;5789;5798;6327;6423;6424;6444;6664;6695;7058;7092;7291;7472;8038;8076;8128;9096;9241;9353;9509;10082;10085;10631;22801;23768;25925;26585;50863;50944;54587;54829;55083;57167;57689;64388;80114;81792;84620;91584;117581;120114;145581;147906;152330;170690;203447;284297;387914;392255	GPC6;EDIL3;CDH11;POSTN;TWIST2;FAT3;CNTN1;COL5A1;COL5A2;COL8A1;COL10A1;COL11A1;COMP;LRFN5;VCAN;DACT3;CNTN4;AEBP1;ADAMTS16;EPYC;EFNA2;NRK;EYA4;FAP;FBN1;ITGA11;FLNC;FLRT2;ZNF521;GREM1;SSC5D;IL11;INHBA;KCNA1;SHISA2;GDF6;LSAMP;MATN3;MMP13;MMP16;MN1;OMD;OGN;NTM;SHANK1;MXRA8;ASPN;KIF26B;PRKG1;SALL4;LRRC4C;PTPRD;NKX3-2;PTPRN;SCN2B;SFRP2;SFRP4;GREM2;SGCD;SOX11;SPOCK1;THBS2;TLL1;TWIST1;WNT2;CACNA1C;BICC1;ADAM12;MFAP5;ST8SIA2;ADAMTS12;ST6GAL2;TBX18;PLXNA4;NOG;SLIT2;ADAMTS2
GO:0044767	single-organism developmental process	http://amigo.geneontology.org/amigo/term/GO:0044767	1796	78	50.9313432835821	1.53147344977142	1.82384098268429e-07	0.000159616483334587	165;579;775;862;1009;1272;1289;1290;1295;1300;1301;1311;1462;1833;1943;2070;2191;2200;2318;3589;3624;3736;4045;4148;4322;4325;4330;4958;4969;5592;5789;5798;6327;6423;6424;6444;6664;6695;7058;7092;7291;7472;8038;8076;8128;9096;9241;9353;9509;10082;10085;10631;22801;23768;25925;26585;50863;50944;54587;54829;55083;57167;57689;64388;80114;81792;84620;91584;117581;120114;145581;147906;152330;170690;203447;284297;387914;392255	GPC6;EDIL3;CDH11;POSTN;TWIST2;FAT3;CNTN1;COL5A1;COL5A2;COL8A1;COL10A1;COL11A1;COMP;LRFN5;VCAN;DACT3;CNTN4;AEBP1;ADAMTS16;EPYC;EFNA2;NRK;EYA4;FAP;FBN1;ITGA11;FLNC;FLRT2;ZNF521;GREM1;SSC5D;IL11;INHBA;KCNA1;SHISA2;GDF6;LSAMP;MATN3;MMP13;MMP16;MN1;OMD;OGN;NTM;SHANK1;MXRA8;ASPN;KIF26B;PRKG1;SALL4;LRRC4C;PTPRD;NKX3-2;PTPRN;SCN2B;SFRP2;SFRP4;GREM2;SGCD;SOX11;SPOCK1;THBS2;TLL1;TWIST1;WNT2;CACNA1C;BICC1;ADAM12;MFAP5;ST8SIA2;ADAMTS12;ST6GAL2;RUNX1T1;TBX18;PLXNA4;NOG;SLIT2;ADAMTS2
GO:0032502	developmental process	http://amigo.geneontology.org/amigo/term/GO:0032502	1830	78	51.8955223880597	1.5030198446937	4.73777029164069e-07	0.000355400454305789	165;579;775;862;1009;1272;1289;1290;1295;1300;1301;1311;1462;1833;1943;2070;2191;2200;2318;3589;3624;3736;4045;4148;4322;4325;4330;4958;4969;5592;5789;5798;6327;6423;6424;6444;6664;6695;7058;7092;7291;7472;8038;8076;8128;9096;9241;9353;9509;10082;10085;10631;22801;23768;25925;26585;50863;50944;54587;54829;55083;57167;57689;64388;80114;81792;84620;91584;117581;120114;145581;147906;152330;170690;203447;284297;387914;392255	GPC6;EDIL3;CDH11;POSTN;TWIST2;FAT3;CNTN1;COL5A1;COL5A2;COL8A1;COL10A1;COL11A1;COMP;LRFN5;VCAN;DACT3;CNTN4;AEBP1;ADAMTS16;EPYC;EFNA2;NRK;EYA4;FAP;FBN1;ITGA11;FLNC;FLRT2;ZNF521;GREM1;SSC5D;IL11;INHBA;KCNA1;SHISA2;GDF6;LSAMP;MATN3;MMP13;MMP16;MN1;OMD;OGN;NTM;SHANK1;MXRA8;ASPN;KIF26B;PRKG1;SALL4;LRRC4C;PTPRD;NKX3-2;PTPRN;SCN2B;SFRP2;SFRP4;GREM2;SGCD;SOX11;SPOCK1;THBS2;TLL1;TWIST1;WNT2;CACNA1C;BICC1;ADAM12;MFAP5;ST8SIA2;ADAMTS12;ST6GAL2;RUNX1T1;TBX18;PLXNA4;NOG;SLIT2;ADAMTS2
GO:0001503	ossification	http://amigo.geneontology.org/amigo/term/GO:0001503	149	17	4.22537313432836	4.02331331684917	6.38902266203445e-07	0.000419359474979286	1009;1290;1300;1301;1462;4322;4325;4330;4958;6423;6664;7291;9241;22801;26585;54829;117581	CDH11;TWIST2;COL5A2;COL10A1;COL11A1;VCAN;ITGA11;GREM1;MMP13;MMP16;MN1;OMD;ASPN;SFRP2;SOX11;TWIST1;NOG
GO:0030574	collagen catabolic process	http://amigo.geneontology.org/amigo/term/GO:0030574	42	9	1.1910447761194	7.55639097744361	1.75794732482082e-06	0.00102566460029268	1289;1290;1295;1300;1301;2191;4322;4325;9509	COL5A1;COL5A2;COL8A1;COL10A1;COL11A1;FAP;MMP13;MMP16;ADAMTS2
GO:0090288	negative regulation of cellular response to growth factor stimulus	http://amigo.geneontology.org/amigo/term/GO:0090288	43	9	1.21940298507463	7.38066095471236	2.17096716137455e-06	0.00113997485643778	2200;6423;9241;9353;26585;54829;64388;81792;387914	FBN1;GREM1;SHISA2;ASPN;SFRP2;GREM2;ADAMTS12;NOG;SLIT2
